GFD18_RS09900	GFD18_RS09900
D2E24_RS10325	D2E24_RS10325
D2E24_RS10350	D2E24_RS10350
D2E24_RS10445	D2E24_RS10445
EKM88_RS06245	EKM88_RS06245
EKM88_RS08190	EKM88_RS08190
LFAB_RS00455	LFAB_RS00455
LFAB_RS17265	LFAB_RS17265
LFAB_RS14985	LFAB_RS14985
LFAB_RS17400	LFAB_RS17400
EKM85_RS09610	EKM85_RS09610
EKM85_RS10825	EKM85_RS10825
FD01_RS04010	FD01_RS04010
FD01_RS10645	FD01_RS10645
FD01_RS11620	FD01_RS11620
FD01_RS12225	FD01_RS12225
JUF03_RS05785	JUF03_RS05785
JUF03_RS08240	JUF03_RS08240
JUF03_RS10860	JUF03_RS10860
FC21_RS03370	FC21_RS03370
LTY20_RS02140	LTY20_RS02140
LTY20_RS04355	LTY20_RS04355
LFE01_RS07940	LFE01_RS07940
LFE01_RS09265	LFE01_RS09265
LF145_RS08870	LF145_RS08870
FC60_RS02295	FC60_RS02295
AOQ57_RS03330	AOQ57_RS03330
AOQ57_RS08350	AOQ57_RS08350
BN54_RS00655	BN54_RS00655
LM011_RS05020	LM011_RS05020
LM011_RS08305	LM011_RS08305
LM011_RS09275	LM011_RS09275
HMPREF9102_RS10705	HMPREF9102_RS10705
FD32_RS09995	FD32_RS09995
FD32_RS00710	FD32_RS00710
FD32_RS10310	FD32_RS10310
FD32_RS10365	FD32_RS10365
FD32_RS02740	FD32_RS02740
FD32_RS04000	FD32_RS04000
LP475_RS08655	LP475_RS08655
LP475_RS04090	LP475_RS04090
LP475_RS04925	LP475_RS04925
LP475_RS06330	LP475_RS06330
LP475_RS08495	LP475_RS08495
KSL82_RS06685	KSL82_RS06685
KSL82_RS08265	KSL82_RS08265
KSL82_RS09430	KSL82_RS09430
KSL82_RS01915	KSL82_RS01915
LMB90_RS00245	LMB90_RS00245
LMB90_RS05820	LMB90_RS05820
LMB90_RS08285	LMB90_RS08285
LMB90_RS00055	LMB90_RS00055
LTY58_RS02460	LTY58_RS02460
LTY58_RS03230	LTY58_RS03230
LTY58_RS04410	LTY58_RS04410
LTY58_RS07670	LTY58_RS07670
LTY58_RS10890	LTY58_RS10890
IV45_RS07930	IV45_RS07930
IV45_RS06010	IV45_RS06010
IV45_RS00705	IV45_RS00705
HUK45_RS07805	HUK45_RS07805
HUK45_RS08730	HUK45_RS08730
HUK45_RS01400	HUK45_RS01400
HUK45_RS09360	HUK45_RS09360
HUK45_RS09395	HUK45_RS09395
HUK45_RS09545	HUK45_RS09545
LV515_RS00880	LV515_RS00880
LV515_RS09505	LV515_RS09505
LV515_RS05255	LV515_RS05255
LV515_RS06335	LV515_RS06335
LV515_RS07965	LV515_RS07965
DYA48_RS00005	DYA48_RS00005
DYA48_RS01250	DYA48_RS01250
DYA48_RS03095	DYA48_RS03095
DYA48_RS04195	DYA48_RS04195
DYA48_RS05915	DYA48_RS05915
DYA48_RS11160	DYA48_RS11160
DYA48_RS11185	DYA48_RS11185
AMM49_RS02020	AMM49_RS02020
AMM49_RS10985	AMM49_RS10985
AMM49_RS04285	AMM49_RS04285
AMM49_RS11360	AMM49_RS11360
